Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.77837688,.03460063,0,.71056092,.8461929
0,2,.76440221,.039039396,0,.68788636,.840918
0,3,.78550076,.039398562,0,.70828104,.86272055
0,4,.77595103,.040667616,0,.696244,.85565811
0,5,.78984272,.044873822,0,.70189166,.87779385
1,1,.79015744,.0773452,1.6816146e-24,.63856363,.94175124
1,2,.84781647,.046032801,0,.75759381,.93803912
1,3,.76540315,.046990518,0,.67330343,.85750288
1,4,.77179873,.047446735,0,.67880487,.86479264
1,5,.81379712,.044704635,0,.72617769,.9014166
