effect,b,se,pvalue,ll,ul
Expunge1,-.2368914029787778,.3715747207612068,.5237772722429226,-.9651644732362707,.4913816672787151
Sequence3,0,,,,
Sequence4,0,,,,
Sequence5,0,,,,
Sequence6,0,,,,
ES3,.1966901617731686,.3760735388344328,.6009674049152089,-.5404004298808449,.9337807534271823
ES4,-.0279713388448574,.0211434291666524,.1858576808396279,-.0694116985211699,.0134690208314551
ES5,-.0002059826187358,.0009654840191732,.8310567207639931,-.0020982965239643,.0016863312864927
ES6,-.0165963932869342,.0188819306113316,.3794249298571936,-.0536042972437285,.0204115106698601
