Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.059222993,.0303484,.05100508,-.00025877979,.11870476
0,2,.10517638,.044363897,.01775131,.018224739,.19212802
0,3,.092181884,.042184394,.028873237,.0095019909,.17486177
0,4,.12771408,.05594622,.022442102,.018061502,.23736666
0,5,.13512512,.060405023,.025287326,.016733455,.25351679
1,1,.044910226,.022872651,.049589228,.00008065658,.089739799
1,2,.088978097,.035687994,.012658964,.019030912,.15892528
1,3,.076583751,.032254379,.017579038,.013366332,.13980117
1,4,.067829087,.030084301,.024156306,.0088649439,.12679324
1,5,.065481037,.029439721,.026132233,.0077802422,.12318183
