effect,b,se,pvalue,ll,ul
0,-.010206643,.039741427,.79731286,-.088098407,.06768512
2,.074095145,.1058603,.48396897,-.13338722,.2815775
3,.022404416,.061204117,.71431983,-.097553447,.14236228
4,.007708705,.059097439,.89621788,-.10812015,.12353756
5,-.13368744,.050025094,.0075309137,-.23173481,-.035640053
6,-.037672583,.052032333,.4690519,-.13965409,.064308919
