effect,b,se,pvalue,ll,ul
Expunge1,1.730156112754684,2.12798050199281,.4161889699303025,-2.440609030954689,5.900921256464057
ES2,-1.718730302241801,1.953996046474205,.3790773202387965,-5.548492179264897,2.111031574781294
ES3,-1.375720185369624,2.041878814228308,.5004689180756308,-5.377729122052458,2.62628875131321
ES4,-1.988001006070295,2.08029367761918,.3392567798334074,-6.065301691470266,2.089299679329676
ES5,-1.571883562699674,2.079353071775739,.4496801523271699,-5.647340694522851,2.503573569123503
ES6,-1.668035116268031,2.097359238481561,.426437540113859,-5.778783686334244,2.442713453798183
Sequence2,.2230319784313243,.2223231849754728,.3157701028576755,-.2127134570488388,.6587774139114874
Sequence3,.0277166600895854,.0529546432877477,.6006932991963936,-.0760725335685657,.1315058537477365
Sequence4,.0128612323350009,.1924299961113007,.9467123417459354,-.364294629588331,.3900170942583329
Sequence5,.6319606241931307,.200624094288249,.0016328515094821,.2387446249571947,1.025176623429067
Sequence6,0,,,,
