Expungement,Sequence,b,se,pvalue,ll,ul
0,1,-.12863639,.20252474,.52532154,-.52557755,.2683048
0,2,-.035931986,.20755038,.86255383,-.44272324,.37085927
0,3,-.29640833,.21040162,.15890205,-.70878792,.1159713
0,4,-.37141648,.22208074,.094437785,-.8066867,.063853763
0,5,-.42683461,.25932217,.099771425,-.93509674,.081427477
1,1,-.10157857,.37659642,.78736961,-.83969402,.6365369
1,2,-.29820043,.25290883,.23836525,-.79389262,.19749178
1,3,-.083596028,.26693097,.75414795,-.60677111,.43957904
1,4,-.51275241,.26012024,.048699521,-1.0225787,-.0029260907
1,5,-.52583802,.25911587,.042422172,-1.0336958,-.017980242
