effect,b,se,pvalue,ll,ul
Expunge1,.149944475866092,.2035865965803186,.4614176600752629,-.2490779211664177,.5489668728986017
Sequence3,.0206873912854234,.1490216664994621,.8895913099500929,-.2713897079696613,.3127644905405081
Sequence4,.0420526607370563,.1368160289238325,.7585644418365051,-.2261018284614458,.3102071499355584
Sequence5,.1221798127337834,.1533462689861956,.4255917958538294,-.1783733516427514,.4227329771103182
Sequence6,.3245549689396934,.1485511385223721,.0289032960527156,.0334000875734235,.6157098503059633
ES3,.1208503479363288,.2543757646903147,.6347257232979238,-.3777169893965235,.6194176852691811
ES4,-.1846082531449252,.2611655030221235,.4796515664074718,-.696483233072574,.3272667267827235
ES5,-.259464597098658,.2361029725504714,.2717912882809004,-.7222179199404308,.2032887257431147
ES6,-.4401915594555448,.2424910027874285,.0694793125117473,-.9154651914939065,.0350820725828169
