effect,b,se,pvalue,ll,ul
0,-.011530266,.030971633,.70968086,-.07223355,.04917302
2,-.034148689,.092618719,.71235001,-.21567804,.14738066
3,.037646893,.062349696,.54597503,-.084556259,.15985005
4,-.071491145,.057698853,.21533097,-.18457882,.041596532
5,.038268041,.056000944,.49438798,-.071491793,.14802788
6,-.027926434,.056259878,.61962438,-.13819377,.082340896
