effect,expunge,seq,b,se,pvalue,ll,ul
late,LATE,Overall,-1.510995184478283,3.166232172364831,.6332041514319657,-7.716696209005367,4.694705840048801
late0,LATE,0,.4388991612559581,7.15401748495167,.9510804505317124,-13.58271745401913,14.46051577653105
late1,LATE,1,-.1182135089538252,5.965880734060077,.9841910078283619,-11.81112488377295,11.5746978658653
late2,LATE,2,-.675326179163608,4.802836959003228,.8881781672369236,-10.08871364242781,8.738061284100594
late3,LATE,3,-1.232438849373391,3.688698407325915,.7382949537472541,-8.462154877562442,5.99727717881566
late4,LATE,4,-1.789551519583174,2.685049755470704,.5050996886607293,-7.052152337003831,3.473049297837483
late5,LATE,5,-2.346664189792958,1.968814770922092,.2332937130967456,-6.205470233030734,1.512141853444818
late6,LATE,6,-2.903776860002741,1.899135113348158,.1262645389892329,-6.626013283940523,.818459563935042
late7,LATE,7,-3.460889530212524,2.530007889119324,.1713320284955044,-8.419613873488606,1.497834813063557
pr_1,0,1,2.28972423259269,.7444944681750311,.0021012011784011,.8305418882803279,3.748906576905052
pr_2,0,2,2.602843679676945,.8755967275752473,.0029523973495433,.8867056286483317,4.318981730705559
pr_3,0,3,2.9159631267612,1.016229861434796,.0041126010066936,.9241891983348707,4.90773705518753
pr_4,0,4,3.229082573845455,1.162941322224441,.0054922060508382,.9497594661521607,5.508405681538749
pr_5,0,5,3.542202020929709,1.313696232900332,.0070101210352446,.9674047178191167,6.116999324040302
pr_6,0,6,3.855321468013964,1.467248769455935,.0085993249583867,.9795667235196186,6.73107621250831
pr_7,0,7,4.168440915098219,1.622804977912452,.0102091357403955,.9878016044574949,7.349080225738943
pr_8,1,1,2.171510723638865,5.5978775574749,.6980776085047267,-8.800127678876986,13.14314912615471
pr_9,1,2,1.927517500513337,4.34677590118533,.6574503047021101,-6.592006714676545,10.44704171570322
pr_10,1,3,1.683524277387808,3.104427560864771,.5876133618661359,-4.40104193452067,7.768090489296286
pr_11,1,4,1.43953105426228,1.88819024070006,.4458292646392384,-2.261253813469853,5.140315921994413
pr_12,1,5,1.195537831136751,.8233082341262017,.1464697686541145,-.4181166559258744,2.809192318199377
pr_13,1,6,.9515446080112233,.9875184406237507,.3352608098647845,-.9839559696804836,2.88704518570293
pr_14,1,7,.7075513848856945,2.111239221796245,.7375228129343315,-3.430401452583316,4.845504222354705
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
