effect,b,se,pvalue,ll,ul
Expunge1,.0660366886897632,.1051723416243068,.5300758334703785,-.140097313063621,.2721706904431474
Sequence3,0,,,,
Sequence4,0,,,,
Sequence5,0,,,,
Sequence6,0,,,,
ES3,.0027135653629324,.0258362750728056,.9163525753049705,-.0479246032744364,.0533517340003013
ES4,-.0018782811997767,.0015463701108161,.2245038678720036,-.0049091109237455,.001152548524192
ES5,-.0044988924387609,.0072210257837002,.533266924059959,-.0186518429062483,.0096540580287266
ES6,-.0029920382430675,.0082770341656276,.7177356025963362,-.0192147271065051,.0132306506203701
