effect,b,se,pvalue,ll,ul
Expunge1,-.8459505878632432,.9324847277682828,.3643007926551371,-2.673587070422714,.9816858946962279
ES2,1.054908312473351,.8326907119891581,.2052028809671532,-.5771354932864137,2.686952118233116
ES3,1.014841995636961,.9017204421600821,.2603980534919505,-.7524975951203321,2.782181586394255
ES4,.8300027882536266,.8994456345429711,.3561147111256226,-.9328782615023722,2.592883838009625
ES5,.824669288954717,.9030908867835912,.3611567589253469,-.945356323907461,2.594694901816895
ES6,1.011398661395914,.9068512112172703,.2647277876697011,-.7659970519264614,2.788794374718289
Sequence2,-.025462302020549,.0973851556207387,.7937379567198957,-.2163336996660252,.1654090956249273
Sequence3,.0634627888623014,.1170930067554934,.5878280415243504,-.1660352872199709,.2929608649445736
Sequence4,-.0012229244324093,.1183792033480941,.9917575457441808,-.2332418995132172,.2307960506483986
Sequence5,.1703710957405771,.1281692098506826,.1837599111769974,-.080835939493717,.4215781309748713
Sequence6,.1162068841780712,.1376037685468729,.3983880270856342,-.1534915463107851,.3859053146669275
