Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.10304712,.041546214,.013127154,.021618031,.18447621
0,2,.069742166,.041600872,.093648277,-.011794046,.15127838
0,3,.020109136,.044142902,.64871627,-.066409357,.10662763
0,4,.082757942,.044369336,.062152561,-.0042043575,.16972025
0,5,.0024329321,.044871617,.95675999,-.085513823,.090379685
1,1,.18955444,.090447448,.036105156,.012280702,.36682817
1,2,.022527741,.05058023,.65604061,-.076607689,.12166318
1,3,-.0048667388,.05028227,.92289448,-.10341817,.093684696
1,4,-.10679519,.048440937,.027478833,-.20173769,-.011852704
1,5,-.13720913,.047091536,.0035720891,-.22950685,-.044911414
