Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.099759683,.030936649,.0012612935,.039124966,.1603944
0,2,.22437684,.051535394,.000013377364,.12336932,.32538438
0,3,.26851651,.060209442,8.2071565e-06,.15050817,.38652483
0,4,.33158758,.07043165,2.5023976e-06,.19354407,.46963108
0,5,.35588995,.077380806,4.2411284e-06,.20422634,.50755352
1,1,.10515761,.032296997,.00113011,.041856669,.16845857
1,2,.24229732,.053709764,6.4451556e-06,.13702811,.34756652
1,3,.30413947,.066028304,4.1009730e-06,.17472635,.43355253
1,4,.32834992,.068442069,1.6066898e-06,.19420592,.4624939
1,5,.32039434,.071159981,6.7174178e-06,.18092334,.45986536
