effect,b,se,pvalue,ll,ul
Expunge1,-.190769562573556,.229769324610655,.4063886417216802,-.6411091635625323,.2595700384154203
Sequence3,-.0815767476216752,.1041056199804461,.4332772023565258,-.285620013371563,.1224665181282125
Sequence4,.0898996721824957,.1231919947611925,.4655414539328913,-.1515522007330885,.33135154509808
Sequence5,.1821929762988744,.1292840208613858,.1587624697802699,-.0711990483659667,.4355850009637156
Sequence6,.038775881284515,.1334475338272288,.7713800271865294,-.222776478842544,.300328241411574
ES3,.2060258398544416,.1954396224247082,.2918068417904337,-.1770287812500931,.5890804609589763
ES4,.1637296527598265,.2174061848042564,.4513869086381385,-.2623786394727752,.5898379449924281
ES5,-.0453955803854054,.2159302173130549,.8334861030424361,-.4686110294929002,.3778198687220895
ES6,.239384200053202,.2257273950039705,.2889165903942715,-.2030333644786265,.6818017645850306
