Expungement,Sequence,b,se,pvalue,ll,ul
0,1,7.602644,.33824992,0,6.9396863,8.2656021
0,2,7.4023352,.33812666,0,6.7396188,8.0650511
0,3,7.6841846,.35175207,0,6.9947634,8.3736057
0,4,7.941926,.35182282,0,7.2523661,8.6314859
0,5,7.9853683,.38514692,0,7.2304945,8.740243
1,1,7.6062655,.60700417,5.0630365e-36,6.4165592,8.7959719
1,2,7.752665,.37574571,0,7.0162172,8.4891129
1,3,7.4241982,.39458668,0,6.6508226,8.1975737
1,4,8.0948191,.38146031,0,7.3471708,8.8424683
1,5,8.0527134,.37566188,0,7.3164296,8.7889977
