effect,b,se,pvalue,ll,ul
Expunge1,-.0331809034026334,.1308064783734557,.7997550959519697,-.289556889959124,.2231950831538572
Sequence3,0,,,,
Sequence4,0,,,,
Sequence5,0,,,,
Sequence6,0,,,,
ES3,-.0034675918318585,.0017893439705639,.0526339133661324,-.0069746415701177,.0000394579064007
ES4,.0551088062380155,.037265135179993,.1391857099315147,-.0179295165937873,.1281471290698183
ES5,.0090974082109591,.008677710191334,.2944704425877478,-.0079105912323317,.0261054076542499
ES6,-9.99087114952e-06,3.98147359355e-06,.0120956980852812,-.0000177944159983,-2.18732630076e-06
