Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.78319788,.036195669,0,.71225566,.8541401
0,2,.77831972,.040632591,0,.69868129,.85795814
0,3,.80257636,.040413421,0,.72336751,.88178521
0,4,.76796043,.043534625,0,.68263412,.85328674
0,5,.82658345,.043850709,0,.7406376,.91252923
1,1,.74904919,.078042172,8.1506593e-22,.59608936,.90200901
1,2,.81596661,.047806013,0,.72226858,.90966469
1,3,.73108524,.048252825,0,.63651145,.82565904
1,4,.80622846,.046560783,0,.71497101,.89748591
1,5,.798657,.045677241,0,.70913124,.88818276
