Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.10059753,.040843021,.013776887,.020546684,.18064837
0,2,.068343967,.041250322,.097557761,-.012505172,.14919311
0,3,.014423773,.044481747,.7457391,-.072758846,.10160639
0,4,.077490874,.044011466,.07828965,-.0087700188,.16375177
0,5,-.00042197865,.045392692,.99258286,-.089390017,.08854606
1,1,.18443674,.09077137,.04216557,.006528127,.36234534
1,2,.020769006,.050636377,.68168873,-.078476466,.12001448
1,3,-.003084976,.050009213,.95081115,-.10110123,.094931282
1,4,-.099943817,.047767676,.036412623,-.19356674,-.0063208854
1,5,-.12531687,.046979129,.0076417648,-.21739428,-.033239476
