Expungement,Sequence,b,se,pvalue,ll,ul
0,1,-.075114138,.20061892,.70809776,-.46831998,.31809172
0,2,.033170249,.21019027,.87460607,-.37879509,.44513559
0,3,-.19654815,.21581572,.36244184,-.6195392,.2264429
0,4,-.22029608,.22843835,.33486703,-.66802704,.22743484
0,5,-.34729081,.2674593,.19412209,-.87150139,.17691976
1,1,-.15913092,.37361887,.67016774,-.89141041,.57314861
1,2,-.2598041,.24865299,.29609409,-.74715501,.2275468
1,3,-.11042227,.25826752,.66897881,-.61661732,.39577276
1,4,-.61903656,.2523784,.014174471,-1.1136892,-.12438399
1,5,-.4344348,.26147005,.096611284,-.94690669,.078037068
