effect,b,se,pvalue,ll,ul
Expunge1,-.3725601405846241,.2281076769189904,.1024134075688043,-.8196429719429439,.0745226907736956
Sequence3,-.0435841389805723,.1022599300466465,.6699553002563798,-.2440099189335848,.1568416409724402
Sequence4,.0347294792897084,.1233660915957518,.7783149646649763,-.2070636171514345,.2765225757308513
Sequence5,.1494442733766051,.1295050599717392,.2485146234412882,-.1043809799837034,.4032695267369136
Sequence6,.2333857946527594,.1408303914634466,.0974766500406175,-.042636700544273,.5094082898497918
ES3,.0960534658447521,.1815682494930104,.5967906952686439,-.2598137638975311,.4519206955870353
ES4,.292018659042091,.2180295600466521,.1804556126693988,-.1353114262144602,.7193487442986423
ES5,.1686759557363075,.2275210154036927,.4584725912097177,-.277257040180913,.614608951653528
ES6,.0026192564584529,.2402520170575855,.9913015386242505,-.4682660441875173,.4735045571044231
