Expungement,Sequence,b,se,pvalue,ll,ul
0,1,2.8134661,.12591551,0,2.5666761,3.060256
0,2,2.9002109,.12954842,0,2.6463006,3.1541209
0,3,2.831533,.13253187,0,2.5717752,3.0912907
0,4,3.0016165,.13880144,0,2.7295706,3.2736623
0,5,2.9560807,.15203227,0,2.6581028,3.2540584
1,1,3.0154917,.24341328,3.0215187e-35,2.5384107,3.492573
1,2,3.0698264,.15903065,0,2.758132,3.3815207
1,3,2.8059738,.14715624,0,2.5175529,3.0943947
1,4,2.9809327,.15227662,0,2.682476,3.2793894
1,5,3.1339176,.16314018,0,2.8141687,3.4536664
