"stid","seq","unemployed","treatment","expunge","white","female","age_enroll","total_income","income","income_lag","unemploy_lag","ps_employed","local_unemploy","married","dependent","year"
"KSSTID0003",7,0,1,1,0,0,23,1296.5,7.16819461504004,6.91224518425499,0,1,5.066666667,0,0,2021
"KSSTID0003",6,0,1,1,0,0,23,1003.5,6.91224518425499,7.59229048269352,0,1,5.7,0,0,2021
"KSSTID0003",-5,1,1,0,0,0,23,0,0,0,1,1,3.566666667,0,0,2018
"KSSTID0004",-8,0,0,0,1,1,42,6154.09,8.72503466076998,,,,4.333333333,0,1,2017
"KSSTID0004",-7,0,0,0,1,1,42,7507.75,8.92382428616437,8.72503466076998,0,,3.5,0,1,2017
"KSSTID0004",-6,0,0,0,1,1,42,6210.12,8.73409651293296,8.92382428616437,0,,4,0,1,2018
"KSSTID0004",-5,0,0,0,1,1,42,7500.87,8.92290760177934,8.73409651293296,0,,3.566666667,0,1,2018
"KSSTID0004",-4,0,0,0,1,1,42,6361.01,8.75809964414061,8.92290760177934,0,,3.666666667,0,1,2018
"KSSTID0004",-3,0,0,0,1,1,42,7646.81,8.94217461132641,8.75809964414061,0,,3.133333333,0,1,2018
"KSSTID0004",-2,0,0,0,1,1,42,6349.43,8.75627780612951,8.94217461132641,0,,3.733333333,0,1,2019
"KSSTID0004",-1,0,0,0,1,1,42,7580.1,8.93341358684122,8.75627780612951,0,,3.233333333,0,1,2019
"KSSTID0004",0,0,0,0,1,1,42,6867.93,8.83476362345006,8.93341358684122,0,,3.5,0,1,2019
"KSSTID0004",1,0,0,0,1,1,42,8218.71,9.01429020762253,8.83476362345006,0,,2.966666667,0,1,2019
"KSSTID0004",2,0,0,0,1,1,42,7774.81,8.95877291168538,9.01429020762253,0,,3.7,0,1,2020
"KSSTID0004",3,0,0,0,1,1,42,9580.6,9.1675998716333,8.95877291168538,0,,14.46666667,0,1,2020
"KSSTID0004",4,0,0,0,1,1,42,7295.68,8.89517472916554,9.1675998716333,0,,9.1,0,1,2020
"KSSTID0004",5,0,0,0,1,1,42,8658.56,9.06641919195161,8.89517472916554,0,,6.533333333,0,1,2020
"KSSTID0004",6,0,0,0,1,1,42,7119.85,8.87078237930303,9.06641919195161,0,,5.7,0,1,2021
"KSSTID0004",7,0,0,0,1,1,42,3936.3,8.27825048819305,8.87078237930303,0,,5.066666667,0,1,2021
"KSSTID0005",2,0,0,0,1,0,45,1270.4286,7.14789642913683,8.65014941866486,0,0,3.7,1,1,2020
"KSSTID0005",-8,0,0,0,1,0,45,18669,9.83467323653577,,,0,4.333333333,1,1,2017
"KSSTID0005",3,1,0,0,1,0,45,4322.5715,8.37183707579121,7.14789642913683,0,0,14.46666667,1,1,2020
"KSSTID0005",-1,1,0,0,1,0,45,0,0,8.62081058872562,0,0,3.233333333,1,1,2019
