Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.015667869,.0094159553,.096118413,-.0027870657,.034122802
0,2,.043232787,.021552226,.044861093,.00099120021,.085474372
0,3,.05536855,.026320625,.035411745,.0037810744,.10695603
0,4,.062461372,.030650627,.041564964,.002387247,.1225355
0,5,.054717969,.028105367,.051548298,-.0003675372,.10980348
1,1,.026820576,.013111521,.040798396,.001122465,.052518688
1,2,.067920834,.025672516,.0081530884,.01760363,.11823805
1,3,.082003407,.031891976,.010132144,.019496286,.14451054
1,4,.099662133,.036020439,.0056605702,.029063368,.17026089
1,5,.084011436,.034093287,.013733349,.017189816,.15083306
