effect,b,se,pvalue,ll,ul
Expunge1,-.9613558103676804,1.376116280125293,.4848015998779053,-3.658494157952486,1.735782537217126
ES2,1.074404464375395,1.254633572253808,.3918046510254743,-1.3846321510369,3.53344107978769
ES3,.6917775944530785,1.296612864576211,.5936690273219714,-1.849536922007605,3.233092110913762
ES4,.9982702953699626,1.329764692835285,.4528260071288026,-1.608020610500163,3.604561201240088
ES5,.7284968114980682,1.336294196031851,.5856421067034189,-1.890591685474267,3.347585308470403
ES6,.6894249143222924,1.332600172541848,.6049096488056007,-1.922423429651591,3.301273258296175
Sequence2,-.1385367850904423,.1542178111681725,.369015522586323,-.4407981407546594,.1637245705737748
Sequence3,.0190750386696214,.0303735152149871,.5299937791371336,-.0404559572356328,.0786060345748756
Sequence4,.0089864027814854,.1183338536809754,.9394659597532187,-.222943688585059,.2409164941480297
Sequence5,-.4192486429378458,.1346629126408076,.0018499576457728,-.6831831017670922,-.1553141841085994
Sequence6,0,,,,
