"stid","seq","m_rent","treatment","expunge","white","female","age_enroll","total_income","income","income_lag","ps_income","ps_employed","ps_m_rent","full_time","full_time_lag","unemploy_lag","local_unemploy","married","dependent","year"
"KSSTID0007",6,0,1,0,0,1,51,11537.59,9.35345234888822,9.03610602536485,7.9141206911378,1,0,1,1,0,3.033333333,0,0,2021
"KSSTID0008",1,0,0,0,1,0,46,0,0,0,0,1,0,0,0,1,2.966666667,1,0,2019
"KSSTID0008",2,0,0,0,1,0,46,0,0,0,0,1,0,0,0,1,14.46666667,1,0,2020
"KSSTID0008",3,0,0,0,1,0,46,0,0,0,0,1,0,0,0,1,9.1,1,0,2020
"KSSTID0008",4,0,0,0,1,0,46,0,0,0,0,1,0,0,0,1,6.533333333,1,0,2020
"KSSTID0008",5,1,0,0,1,0,46,0,0,0,0,1,0,0,0,1,5.7,1,0,2021
"KSSTID0008",6,1,0,0,1,0,46,0,0,0,0,1,0,0,0,1,5.066666667,1,0,2021
"KSSTID0009",1,0,1,0,1,1,31,2099.3688,7.64986822733991,7.93069529569425,7.93069529569425,0,0,0,0,0,3.7,0,1,2020
"KSSTID0009",2,0,1,0,1,1,31,0,0,7.64986822733991,7.93069529569425,0,0,0,0,1,14.46666667,0,1,2020
"KSSTID0009",3,0,1,1,1,1,31,0,0,0,7.93069529569425,0,0,1,0,1,9.1,0,1,2020
"KSSTID0009",4,0,1,1,1,1,31,3357.05,8.119115727342,0,7.93069529569425,0,0,0,1,1,6.533333333,0,1,2020
"KSSTID0009",5,1,1,1,1,1,31,4625.25,8.43950188370037,8.119115727342,7.93069529569425,0,0,1,0,0,5.7,0,1,2021
"KSSTID0009",6,0,1,1,1,1,31,6658.75,8.80383722529235,8.43950188370037,7.93069529569425,0,0,1,1,0,5.066666667,0,1,2021
"KSSTID0010",1,0,1,0,1,1,40,0,0,0,0,1,0,0,0,1,3.7,1,1,2020
"KSSTID0010",2,0,1,0,1,1,40,0,0,0,0,1,0,0,0,1,9.933333333,0,1,2020
"KSSTID0010",3,0,1,0,1,1,40,0,0,0,0,1,0,0,0,1,6.1,0,1,2020
"KSSTID0010",4,0,1,0,1,1,40,0,0,0,0,1,0,0,0,1,4.366666667,1,1,2020
"KSSTID0010",5,0,1,0,1,1,40,0,0,0,0,1,0,0,0,1,4.066666667,0,1,2021
"KSSTID0010",6,0,1,0,1,1,40,0,0,0,0,1,0,0,0,1,3.533333333,0,1,2021
"KSSTID0011",1,1,0,0,1,1,29,0,0,0,0,1,1,0,0,1,3.883333333,1,1,2020
"KSSTID0011",2,1,0,0,1,1,29,0,0,0,0,1,1,0,0,1,8.3,0,1,2020
"KSSTID0011",3,0,0,0,1,1,29,0,0,0,0,1,1,0,0,1,5.1,0,1,2020
"KSSTID0011",4,0,0,0,1,1,29,0,0,0,0,1,1,0,0,1,3.7,1,1,2020
"KSSTID0011",5,1,0,0,1,1,29,0,0,0,0,1,1,0,0,1,3.666666667,0,1,2021
"KSSTID0011",6,0,0,0,1,1,29,0,0,0,0,1,1,0,0,1,3.3,0,1,2021
"KSSTID0012",1,0,0,0,0,0,39,5703.31,8.64897730844343,8.18536973246441,8.18536973246441,1,0,1,0,0,4.266666667,1,1,2020
"KSSTID0012",2,1,0,0,0,0,39,5907.44,8.68413711616587,8.64897730844343,8.18536973246441,1,0,0,1,0,8.483333333,1,1,2020
"KSSTID0012",3,1,0,0,0,0,39,5699.2,8.64825654092638,8.68413711616587,8.18536973246441,1,0,1,0,0,5.45,1,1,2020
"KSSTID0012",4,0,0,0,0,0,39,6137.6,8.72235198211295,8.64825654092638,8.18536973246441,1,0,1,1,0,3.9,1,1,2020
"KSSTID0012",5,1,0,0,0,0,39,5554,8.62245370207373,8.72235198211295,8.18536973246441,1,0,1,1,0,3.85,1,1,2021
"KSSTID0012",6,0,0,0,0,0,39,6363.84,8.75854437320501,8.62245370207373,8.18536973246441,1,0,1,1,0,3.716666667,1,1,2021
"KSSTID0013",1,0,0,0,1,1,38,240.3,5.48604097263099,8.03346703753197,8.03346703753197,1,0,1,0,0,3.833333333,1,1,2020
"KSSTID0013",2,0,0,0,1,1,38,3123.9,8.04715756165849,5.48604097263099,8.03346703753197,1,0,1,1,1,7.6,1,1,2020
"KSSTID0013",3,0,0,1,1,1,38,4923.9,8.50205924883152,8.04715756165849,8.03346703753197,1,0,1,1,1,5.066666667,1,1,2020
"KSSTID0013",4,0,0,1,1,1,38,0,0,8.50205924883152,8.03346703753197,1,0,1,1,1,3.766666667,1,0,2021
"KSSTID0013",5,0,0,1,1,1,38,0,0,0,8.03346703753197,1,0,1,1,1,3.233333333,1,0,2021
"KSSTID0013",6,0,0,1,1,1,38,0,0,0,8.03346703753197,1,0,0,1,1,3.2,1,0,2021
"KSSTID0014",1,0,1,0,1,0,26,3799.3952,8.24286034030685,8.52006306937418,8.52006306937418,1,0,0,1,0,2.983333333,0,0,2020
"KSSTID0014",2,0,1,1,1,0,26,11197.81487,9.32356323650579,8.24286034030685,8.52006306937418,1,0,0,0,0,6.433333333,0,0,2020
"KSSTID0014",3,0,1,1,1,0,26,261.37037,5.56975713148676,9.32356323650579,8.52006306937418,1,0,0,0,1,4.483333333,0,0,2020
"KSSTID0014",4,0,1,1,1,0,26,932.36,6.8387909785156,5.56975713148676,8.52006306937418,1,0,1,1,1,3.15,0,0,2020
"KSSTID0014",5,0,1,1,1,0,26,5802.87,8.66628021540726,6.8387909785156,8.52006306937418,1,0,1,1,0,2.95,0,0,2021
"KSSTID0014",6,0,1,1,1,0,26,10188.09,9.22907281899053,8.66628021540726,8.52006306937418,1,0,1,1,0,2.933333333,0,0,2021
"KSSTID0015",1,0,0,0,1,0,44,0,0,0,0,1,0,0,0,1,2.566666667,1,1,2020
"KSSTID0015",2,0,0,0,1,0,44,0,0,0,0,1,0,0,0,1,5.2,1,1,2020
"KSSTID0015",3,0,0,0,1,0,44,0,0,0,0,1,0,0,0,1,3.8,1,1,2020
"KSSTID0015",4,0,0,0,1,0,44,0,0,0,0,1,0,0,0,1,2.866666667,1,1,2020
"KSSTID0015",5,0,0,0,1,0,44,0,0,0,0,1,0,0,0,1,2.733333333,1,1,2021
"KSSTID0015",6,0,0,0,1,0,44,0,0,0,0,1,0,0,0,1,2.733333333,1,1,2021
"KSSTID0016",1,1,1,1,1,0,28,2711.97,7.90579925472828,7.72500769016294,7.72500769016294,1,0,0,0,0,3.7,0,0,2020
"KSSTID0016",1,0,1,1,1,0,28,2711.97,7.90579925472828,7.72500769016294,7.72500769016294,1,0,0,0,0,3.7,0,0,2020
"KSSTID0016",2,0,1,1,1,0,28,2331.93,7.75488026728497,7.90579925472828,7.72500769016294,1,0,1,0,0,14.46666667,0,0,2020
"KSSTID0016",2,0,1,1,1,0,28,2331.93,7.75488026728497,7.75488026728497,7.72500769016294,1,0,1,1,0,14.46666667,0,0,2020
"KSSTID0016",3,1,1,1,1,0,28,3870.87,8.26149287345267,7.75488026728497,7.72500769016294,1,1,0,1,0,9.1,0,0,2020
"KSSTID0016",3,0,1,1,1,0,28,3870.87,8.26149287345267,8.26149287345267,7.72500769016294,1,0,0,1,0,9.1,0,0,2020
"KSSTID0016",4,1,1,1,1,0,28,2827.29,7.94742756772787,8.26149287345267,7.72500769016294,1,1,0,0,0,6.533333333,0,0,2020
"KSSTID0016",4,1,1,1,1,0,28,2827.29,7.94742756772787,7.94742756772787,7.72500769016294,1,0,0,0,0,6.533333333,0,0,2020
"KSSTID0016",5,0,1,1,1,0,28,3621.95,8.19504389008221,7.94742756772787,7.72500769016294,1,0,0,0,0,5.7,0,0,2021
"KSSTID0016",5,0,1,1,1,0,28,3621.95,8.19504389008221,8.19504389008221,7.72500769016294,1,0,0,0,0,5.7,0,0,2021
"KSSTID0016",6,1,1,1,1,0,28,5209.43,8.55841766493096,8.55841766493096,7.72500769016294,1,1,0,0,0,4.633333333,0,0,2021
"KSSTID0016",6,1,1,1,1,0,28,5209.43,8.55841766493096,8.19504389008221,7.72500769016294,1,0,0,0,0,4.633333333,0,0,2021
"KSSTID0017",1,0,1,0,1,0,50,20087.87,9.90792120933807,9.68073954798298,9.68073954798298,1,0,1,1,0,3.366666667,1,0,2020
"KSSTID0017",2,0,1,0,1,0,50,15379.36857,9.64084720701177,9.90792120933807,9.68073954798298,1,0,1,1,0,11.16666667,1,0,2020
"KSSTID0017",3,0,1,0,1,0,50,19657.81148,9.88628093816063,9.64084720701177,9.68073954798298,1,0,1,1,0,6.633333333,1,0,2020
"KSSTID0017",4,1,1,0,1,0,50,16832.76,9.73114167280878,9.88628093816063,9.68073954798298,1,0,1,1,0,4.8,1,0,2020
"KSSTID0017",5,1,1,0,1,0,50,14004.08,9.54717539992352,9.73114167280878,9.68073954798298,1,0,1,1,0,4.366666667,1,0,2021
"KSSTID0017",6,1,1,0,1,0,50,15173.53,9.62737364345465,9.54717539992352,9.68073954798298,1,0,1,1,0,3.666666667,1,0,2021
"KSSTID0018",1,0,1,0,1,1,44,0,0,0,0,1,0,0,0,1,3.7,1,1,2020
"KSSTID0018",2,0,1,0,1,1,44,0,0,0,0,1,0,0,0,1,14.46666667,1,1,2020
"KSSTID0018",3,0,1,1,1,1,44,0,0,0,0,1,0,0,0,1,9.1,1,1,2020
"KSSTID0018",4,0,1,1,1,1,44,175,5.17048399503815,0,0,1,0,0,0,1,5.7,1,1,2021
"KSSTID0018",5,0,1,1,1,1,44,2714.5,7.9067313774749,5.17048399503815,0,1,0,0,0,0,5.066666667,1,1,2021
"KSSTID0018",6,0,1,1,1,1,44,6630.87,8.79964209469297,7.9067313774749,0,1,0,0,0,0,4.633333333,1,1,2021
