Expungement,Sequence,b,se,pvalue,ll,ul
0,1,3.1970465,.12840351,0,2.9453802,3.4487128
0,2,3.0585639,.12832101,0,2.8070593,3.3100684
0,3,3.1983709,.13494305,0,2.9338875,3.4628544
0,4,3.1112738,.13908289,0,2.8386762,3.3838711
0,5,3.0485685,.14881501,0,2.7568965,3.3402407
1,1,3.1163785,.21554022,0,2.6939275,3.5388296
1,2,3.09885,.16026077,0,2.7847447,3.4129553
1,3,3.1479583,.15335685,0,2.8473845,3.4485323
1,4,3.1163681,.16099016,0,2.8008332,3.4319029
1,5,3.1827242,.15964809,0,2.8698196,3.4956286
