Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.26822525,.04351794,7.1129080e-10,.18293168,.35351884
0,2,.26057318,.047105789,3.1721637e-08,.16824751,.35289881
0,3,.31276074,.054385528,8.8817833e-09,.20616706,.41935441
0,4,.22683783,.05165258,.000011251599,.12560064,.32807502
0,5,.21142742,.053420503,.000075644646,.10672516,.31612968
1,1,.29061401,.088160709,.00097928336,.11782219,.46340582
1,2,.28818148,.056344513,3.1435204e-07,.17774826,.3986147
1,3,.21336898,.054757398,.000097542921,.10604645,.3206915
1,4,.3255831,.058438335,2.5270623e-08,.21104607,.44012013
1,5,.27276134,.057410147,2.0231303e-06,.16023953,.38528317
