effect,b,se,pvalue,ll,ul
Expunge1,.0656423192648705,.1057461329101281,.5347615914331874,-.1416162927433664,.2729009312731074
Sequence3,0,,,,
Sequence4,0,,,,
Sequence5,0,,,,
Sequence6,0,,,,
ES3,.0088674831302166,.0259918640690085,.7329802731581605,-.0420756343361009,.059810600596534
ES4,-.0020752991759731,.0015086206837596,.1689371778775425,-.0050321413824741,.0008815430305279
ES5,-.0033840793539577,.0071835443066718,.6375781094734414,-.0174635674763821,.0106954087684668
ES6,-.0015110421212427,.0081611959911706,.8531117038993778,-.0175066923347097,.0144846080922243
