"stid","homeless","treatment","expunge","white","female","age_enroll","total_income","income","ps_income","ps_employed","unemployed","unemployed_q","local_unemploy","married","dependent"
"KSSTID0064",0,0,0,1,0,65,1427.44,3.91601864889913,1830.24,1,1,1,2.46388888883333,1,0
"KSSTID0065",,0,0,0,0,42,0,0,468.41,1,1,1,5.47222222233333,0,1
"KSSTID0066",,1,1,1,1,55,3348.68833333333,6.65500700421384,6364.28,0,1,1,3.9555555555,1,0
"KSSTID0067",0,0,0,1,1,37,2063.96666666667,2.90887930623252,0,1,1,1,5.47222222233333,1,1
"KSSTID0068",,1,1,1,1,60,0,0,516.45,1,1,1,2.5944444445,1,0
"KSSTID0069",,1,1,1,0,23,4165.91166666667,8.23488928351289,4898.21,0,0,0,5.47222222233333,0,0
"KSSTID0070",,0,0,1,0,42,2892.94697,4.24832358266948,1250.61,0,1,1,3.24999999983333,1,1
"KSSTID0071",,1,1,0,0,47,3647.28,4.44490298325321,6002.21,0,1,1,4.48333333333333,1,0
"KSSTID0072",0,0,0,0,1,49,6837.81833333333,8.82421289624763,6455.95,1,0,0,3.92222222233333,1,0
"KSSTID0073",0,0,0,1,1,40,5906.57,8.66606488709998,1081.43,1,0,0,5.4,0,1
"KSSTID0074",,1,0,1,0,41,3846.48833333333,8.18876642592024,889.7,1,0,0,3.69444444433333,0,1
"KSSTID0075",,1,1,1,0,40,7504.885,8.90222031247486,9230.1,0,0,0,5.4,1,1
"KSSTID0076",0,1,1,1,1,47,2513.07663333333,7.69162026715509,1912.37,0,1,1,5.4,0,1
"KSSTID0077",,1,1,1,1,37,1951.42154833333,5.28090902279345,1300.37,0,1,1,5.4,1,1
"KSSTID0078",0,0,0,1,0,38,2813.93,4.29578033012715,1003.21,1,1,1,3.39444444433333,1,1
"KSSTID0079",0,1,0,1,0,42,711.135,2.55531437745896,199,1,1,1,5.4,1,0
"KSSTID0080",0,1,1,1,0,30,5112.78166666667,8.31231534250057,6490.53,0,0,0,5.4,1,1
"KSSTID0081",,1,1,0,1,32,0,0,65.99,1,1,1,3.92222222233333,1,1
"KSSTID0082",,0,0,1,0,52,0,0,0,1,1,1,3.49722222233333,1,0
"KSSTID0083",0,1,1,0,1,29,8300.385,8.99422101478519,6657.88,1,0,0,5.4,0,1
"KSSTID0084",,0,0,0,1,37,86.5116666666667,1.04232723631671,38.9,1,1,1,5.4,1,1
"KSSTID0085",,0,0,1,0,63,0,0,0,1,1,1,5.4,1,1
"KSSTID0086",,0,0,0,1,32,798.793333333333,3.35502597747401,1354.5,1,1,1,5.4,0,1
"KSSTID0087",,0,0,0,1,32,4780.095,5.73411656944112,8947.58,1,1,1,5.4,1,1
"KSSTID0088",1,1,0,0,1,30,0,0,0,1,1,1,3.12222222233333,0,1
"KSSTID0089",,1,1,1,1,49,0,0,92.97,1,1,1,2.826388889,1,0
"KSSTID0090",,1,1,0,0,28,118.818333333333,1.0951261506624,0,0,1,1,3.89722222216667,1,1
"KSSTID0091",,0,0,1,1,41,3490.21,6.65999379240615,4730.56,1,1,1,4.23333333333333,1,1
"KSSTID0092",,1,1,1,0,38,5800,5.96363246423133,7805.4,0,1,1,5.15555555566667,1,0
"KSSTID0093",,1,1,1,0,50,4822.66668,5.91343698578421,12717.84,0,1,1,4.08333333333333,1,1
"KSSTID0094",1,1,0,0,0,37,8442.97,8.97249582072943,3950.88,0,0,0,2.872222222,1,1
