Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.056978602,.029802231,.055890247,-.001432699,.11538991
0,2,.10217458,.043741286,.019497273,.016443238,.18790592
0,3,.089059651,.040839139,.029202459,.0090164086,.16910289
0,4,.12351999,.054607294,.023699334,.016491663,.23054832
0,5,.13079268,.059404884,.027685389,.014361239,.24722411
1,1,.043209329,.02248751,.054671053,-.00086537853,.087284043
1,2,.086091675,.035115011,.014218095,.017267512,.15491582
1,3,.073988259,.03136614,.018331289,.012511753,.13546476
1,4,.065713935,.029319484,.02500627,.0082487985,.12317906
1,5,.064101979,.029276052,.028555408,.0067219697,.12148198
