effect,b,se,pvalue,ll,ul
Expunge1,-.8415475562758987,.931967068156591,.3665365478104324,-2.668169444640203,.9850743320884054
ES2,1.036951227622054,.8320754803291335,.2126827022296764,-.5938867462419137,2.667789201486022
ES3,1.012037636593491,.900622499558666,.261136483780311,-.7531500262079354,2.777225299394916
ES4,.8375455949689511,.898545265873245,.3512782042064823,-.9235707646215762,2.598661954559478
ES5,.8379823170012781,.9027907497389341,.3532969735223487,-.9314550380629458,2.607419672065502
ES6,1.013815430733888,.9064258034712989,.2633637870611765,-.7627464987276384,2.790377360195415
Sequence2,-.0261000882726544,.0974017848317451,.788727690141269,-.2170040785727946,.1648039020274858
Sequence3,.0620589714703413,.1161611558352645,.5931693307857631,-.1656127103693218,.2897306533100044
Sequence4,-.0078619027429405,.118090142062588,.9469197012586686,-.2393143281148315,.2235905226289505
Sequence5,.163520770460289,.1273748844970663,.1992204787474263,-.0861294156889102,.4131709566094882
Sequence6,.1195343501049704,.1376675909354965,.3852397393940493,-.1502891699669955,.3893578701769363
