Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.79990083,.035930105,0,.72947913,.87032253
0,2,.7841416,.041406073,0,.70298719,.86529601
0,3,.77156824,.039452706,0,.69424236,.84889412
0,4,.80022484,.044580355,0,.71284896,.88760072
0,5,.80897462,.043810315,0,.72310799,.89484125
1,1,.7498849,.078348376,1.0571232e-21,.59632492,.90344489
1,2,.81514001,.046155766,0,.72467637,.90560365
1,3,.77576298,.049637288,0,.67847568,.87305027
1,4,.78281635,.045879792,0,.69289362,.87273914
1,5,.80070007,.045713652,0,.71110296,.89029717
