Expungement,Sequence,b,se,pvalue,ll,ul
0,1,.03826211,.018437777,.037967835,.0021247291,.074399486
0,2,.074259318,.030363407,.014457741,.014748133,.1337705
0,3,.094098248,.037988231,.013247822,.019642683,.16855381
0,4,.11617782,.042954281,.0068369084,.031988978,.20036666
0,5,.10609738,.040532477,.0088553308,.026655184,.18553957
1,1,.036439199,.01696085,.0316796,.0031965463,.069681853
1,2,.095362887,.031729929,.0026518353,.033173367,.15755241
1,3,.082736604,.031707287,.0090704449,.02059146,.14488174
1,4,.14486551,.04523126,.0013611065,.056213874,.23351716
1,5,.1132961,.039512478,.0041392501,.035853069,.19073913
